system:index,date,tropospheric_NO2_column_number_density,.geo
20190204T074722_20190210T094210,2019-02-04,6.463858520078554E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190205T072825_20190211T092918,2019-02-05,8.258980130344918E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190206T070928_20190212T091428,2019-02-06,9.566571655570118E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190207T065032_20190213T085531,2019-02-07,1.1096597754218963E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190208T063135_20190214T082901,2019-02-08,7.789604951564411E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190210T073513_20190216T091349,2019-02-10,5.384696746763104E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190211T071617_20190217T090142,2019-02-11,5.210774957742015E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190212T065720_20190218T085536,2019-02-12,5.271188225012064E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190213T063824_20190219T082458,2019-02-13,5.4307569631532726E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190214T080059_20190220T095751,2019-02-14,3.929290489769583E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190215T074203_20190221T093243,2019-02-15,8.098825986848133E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190216T072307_20190222T090048,2019-02-16,9.186558106760445E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T070411_20190223T085319,2019-02-17,6.217990920532846E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190218T064515_20190224T084603,2019-02-18,1.0392876074587551E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190220T074854_20190226T123222,2019-02-20,5.852988450874983E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190221T072958_20190227T093748,2019-02-21,5.747273505977888E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190222T071102_20190228T090547,2019-02-22,5.717462125249244E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190223T065207_20190301T084631,2019-02-23,6.224618694948896E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190224T063311_20190302T083306,2019-02-24,5.2393754468494025E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190225T075546_20190303T094217,2019-02-25,1.0721629155952099E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190226T073651_20190304T093643,2019-02-26,9.439262112278267E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190227T071755_20190305T090730,2019-02-27,9.975875882333921E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190228T065900_20190306T085648,2019-02-28,1.1826422339239215E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190301T064005_20190307T083951,2019-03-01,1.3737693881196524E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190302T080240_20190308T094352,2019-03-02,6.400898568654118E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190303T074345_20190309T092755,2019-03-03,6.895310070831329E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190304T072449_20190310T085734,2019-03-04,9.903028590441724E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190305T070554_20190311T085544,2019-03-05,9.020313587312875E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190306T064659_20190312T113629,2019-03-06,9.997571363921203E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190307T062804_20190313T083119,2019-03-07,1.0970105169470398E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308T075039_20190314T092857,2019-03-08,1.222634459660801E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190309T073144_20190315T081006,2019-03-09,9.449474820954608E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190310T071249_20190316T090606,2019-03-10,7.593490427394145E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190311T065354_20190317T085018,2019-03-11,8.143299497780969E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190312T063459_20190318T084130,2019-03-12,6.360383266672961E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190313T075734_20190319T093544,2019-03-13,7.261212499338969E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190314T073839_20190320T093258,2019-03-14,7.197605580417509E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190315T071944_20190321T091237,2019-03-15,9.539369915378196E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190316T070049_20190322T090000,2019-03-16,7.571066067266854E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190317T064154_20190323T084442,2019-03-17,7.628700405409688E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190318T080429_20190324T094756,2019-03-18,1.0091254964248283E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190319T074534_20190325T093650,2019-03-19,9.52802127583888E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190320T072639_20190326T092209,2019-03-20,8.529428208828921E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190321T070744_20190328T173200,2019-03-21,1.18258618418644E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190322T064849_20190329T053131,2019-03-22,9.484903525265397E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190323T062954_20190329T111629,2019-03-23,6.651250388575243E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190324T075230_20190330T093122,2019-03-24,6.922544542821564E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190325T073335_20190331T090524,2019-03-25,7.14742217336096E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190326T071440_20190401T090607,2019-03-26,1.0504522791265024E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190327T065545_20190402T085419,2019-03-27,9.722654722538747E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190328T063650_20190403T082155,2019-03-28,7.003014701205241E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190329T075925_20190404T113431,2019-03-29,7.950366878251458E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190330T074030_20190405T093415,2019-03-30,9.480569175452878E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190331T072135_20190406T091225,2019-03-31,8.670450983155943E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401T070239_20190407T090247,2019-04-01,1.027753477894348E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190402T064344_20190408T082522,2019-04-02,8.758997938166621E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190403T080619_20190409T092709,2019-04-03,7.217178580756383E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404T074724_20190410T091528,2019-04-04,7.732046578673165E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190405T072829_20190411T141401,2019-04-05,7.735790419790633E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190406T070933_20190412T085827,2019-04-06,7.106743263714809E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190407T065038_20190413T084310,2019-04-07,7.448580765266651E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190408T063143_20190414T082729,2019-04-08,8.069049707587295E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190409T075418_20190415T093745,2019-04-09,7.680943570994106E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190410T073522_20190416T091617,2019-04-10,8.394955033667886E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190411T071626_20190417T091413,2019-04-11,8.338647275266216E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190412T065731_20190418T093626,2019-04-12,9.738198549781487E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190413T063835_20190419T081940,2019-04-13,6.036979506332235E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190414T080110_20190420T093359,2019-04-14,5.5087991604564766E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190415T074214_20190421T092111,2019-04-15,9.601480788282366E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190416T072318_20190422T085641,2019-04-16,1.0084924260190484E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190417T070422_20190423T085005,2019-04-17,7.433791785650494E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190418T064526_20190424T083212,2019-04-18,7.016173952778946E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190419T080801_20190425T094158,2019-04-19,5.931661634938653E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190420T074905_20190426T091000,2019-04-20,6.490072086302455E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190421T073008_20190427T092206,2019-04-21,7.57917983102802E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190422T071112_20190428T084759,2019-04-22,7.267890917803876E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190423T065216_20190429T085328,2019-04-23,9.243652787309729E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190424T063320_20190501T103703,2019-04-24,6.608786635092144E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190425T075553_20190501T092900,2019-04-25,6.977096273121242E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190426T073657_20190502T093002,2019-04-26,8.488011521428795E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190427T071800_20190503T090029,2019-04-27,8.182535743462237E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190429T064007_20190505T082737,2019-04-29,6.888056668685749E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190502T072446_20190508T090146,2019-05-02,6.1979961764358E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190503T070549_20190509T084745,2019-05-03,6.443078803672346E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190504T064652_20190510T083522,2019-05-04,5.864956683056626E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190505T080925_20190511T094244,2019-05-05,5.747743862185132E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190506T075028_20190512T094121,2019-05-06,1.0234265638831663E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190507T073130_20190513T110051,2019-05-07,5.4142681740221565E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190508T071233_20190514T092520,2019-05-08,6.239216524340186E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190509T065335_20190515T114412,2019-05-09,5.684704600299842E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190510T063437_20190516T082131,2019-05-10,6.127442019104678E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190511T075710_20190517T093221,2019-05-11,5.654019660567322E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190512T073812_20190518T094708,2019-05-12,7.417170430092767E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190513T071914_20190519T090342,2019-05-13,6.925030008469882E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190514T070015_20190520T090034,2019-05-14,6.992412799960706E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190515T064117_20190522T131408,2019-05-15,5.344511004930852E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190516T080349_20190522T180215,2019-05-16,7.607357267357978E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190517T074450_20190523T094240,2019-05-17,6.410658758245505E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190518T072552_20190524T092809,2019-05-18,8.81879386569787E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190519T070653_20190525T092126,2019-05-19,8.459154551907749E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190520T064754_20190526T084758,2019-05-20,6.862097227855394E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190521T081025_20190527T095108,2019-05-21,6.025337886356033E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190522T075126_20190528T093312,2019-05-22,7.090224896139807E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190523T073227_20190529T110702,2019-05-23,6.489317794340525E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T071328_20190530T085853,2019-05-24,8.180567125585356E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190525T065429_20190531T085301,2019-05-25,4.974574465213658E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190526T063529_20190601T081916,2019-05-26,5.22881914346087E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190527T075759_20190602T093143,2019-05-27,7.445113099943073E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190528T073900_20190603T091254,2019-05-28,5.58064972955082E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190529T072000_20190604T090120,2019-05-29,1.0126925518305989E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190530T070100_20190605T085256,2019-05-30,6.692849895010089E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190531T064200_20190606T083013,2019-05-31,6.532888302608859E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190601T080430_20190607T094655,2019-06-01,4.141656069530365E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190602T074529_20190608T093549,2019-06-02,3.4351155883983954E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190604T070728_20190610T083812,2019-06-04,6.474054039441099E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190606T081057_20190612T100418,2019-06-06,4.0691775809542646E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190608T073255_20190614T125545,2019-06-08,3.487848895413124E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190609T071354_20190615T091522,2019-06-09,3.7568998631967074E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190610T065452_20190616T085213,2019-06-10,4.450982423262297E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190614T072016_20190620T084422,2019-06-14,2.604305299705017E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190615T070114_20190621T084926,2019-06-15,3.589863189563341E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190616T064212_20190622T081926,2019-06-16,4.2968035719423776E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190618T074538_20190624T094318,2019-06-18,3.416088664912335E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190619T072635_20190625T090519,2019-06-19,3.9246810479740934E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190628T075809_20190704T093549,2019-06-28,2.584000049070375E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
